time,vt
100000000.0,1.4470819126552416e-07
200000000.0,1.0242230552137583e-07
300000000.0,1.0134829744260418e-07
400000000.0,1.0080306605446746e-07
500000000.0,1.0045211601693645e-07
600000000.0,1.0018146070886131e-07
700000000.0,9.995520763715859e-08
800000000.0,9.975689361848856e-08
900000000.0,9.954800999872275e-08
1000000000.0,9.942595308842199e-08
1100000000.0,9.93185166947668e-08
1200000000.0,9.916256493794014e-08
1300000000.0,9.90674406351229e-08
1400000000.0,9.90031443334237e-08
1500000000.0,9.890866751490652e-08
1600000000.0,9.885629134498869e-08
1700000000.0,9.878611002670953e-08
1800000000.0,9.870903859012336e-08
1900000000.0,9.866730698923166e-08
2000000000.0,9.863277658012163e-08
2100000000.0,9.858117379746059e-08
2200000000.0,9.850325821723556e-08
2300000000.0,9.845591612286826e-08
2400000000.0,9.842807727092667e-08
2500000000.0,9.838235526925764e-08
2600000000.0,9.831594279274443e-08
2700000000.0,9.825453751319069e-08
2800000000.0,9.822160192385276e-08
2900000000.0,9.820737920792135e-08
3000000000.0,9.81574899576801e-08
3100000000.0,9.807162941613495e-08
3200000000.0,9.801844859051423e-08
3300000000.0,9.800262930105937e-08
3400000000.0,9.794096950909087e-08
3500000000.0,9.78789486363576e-08
3600000000.0,9.783600164716571e-08
3700000000.0,9.776978197700701e-08
3800000000.0,9.772680610697732e-08
3900000000.0,9.768658008287857e-08
4000000000.0,9.7610916134836e-08
4100000000.0,9.754027442577269e-08
4200000000.0,9.750103470089882e-08
4300000000.0,9.743964824541104e-08
4400000000.0,9.738507554564736e-08
4500000000.0,9.733946666750399e-08
4600000000.0,9.72701277043192e-08
4700000000.0,9.720359097034118e-08
4800000000.0,9.715501959905884e-08
4900000000.0,9.710657812444055e-08
5000000000.0,9.706673205607515e-08
5100000000.0,9.700921046001895e-08
5200000000.0,9.693276723190977e-08
5300000000.0,9.686628713475765e-08
5400000000.0,9.680282512856822e-08
5500000000.0,9.674408890146196e-08
5600000000.0,9.669626686869241e-08
5700000000.0,9.665228097176459e-08
5800000000.0,9.65765461186206e-08
5900000000.0,9.650209626634703e-08
6000000000.0,9.640865167140386e-08
6100000000.0,9.63020317376956e-08
6200000000.0,9.621956184797538e-08
6300000000.0,9.613394344834696e-08
6400000000.0,9.604040854844306e-08
6500000000.0,9.591847940097452e-08
6600000000.0,9.580773441121715e-08
6700000000.0,9.569433777103641e-08
6800000000.0,9.55497530812902e-08
6900000000.0,9.54061079605019e-08
7000000000.0,9.527995634424842e-08
7100000000.0,9.513592921310185e-08
7200000000.0,9.495321872161082e-08
7300000000.0,9.476869147907732e-08
7400000000.0,9.45772383865114e-08
7500000000.0,9.436225426580435e-08
7600000000.0,9.414084805670154e-08
7700000000.0,9.390838744288384e-08
7800000000.0,9.367313782780488e-08
7900000000.0,9.34152104721623e-08
8000000000.0,9.312374086188383e-08
8100000000.0,9.281687540653944e-08
8200000000.0,9.248935973215628e-08
8300000000.0,9.21518411358731e-08
8400000000.0,9.179573782441329e-08
8500000000.0,9.141601716987881e-08
8600000000.0,9.104845346429343e-08
8700000000.0,9.065634231432142e-08
8800000000.0,9.020857039826396e-08
8900000000.0,8.97492509402665e-08
9000000000.0,8.927250711802292e-08
9100000000.0,8.877869245439658e-08
9200000000.0,8.826278002840891e-08
9300000000.0,8.772991925790298e-08
9400000000.0,8.719619836424906e-08
9500000000.0,8.664514324469221e-08
9600000000.0,8.605366744462309e-08
9700000000.0,8.543335770155815e-08
9800000000.0,8.480153546674055e-08
9900000000.0,8.415532422692186e-08
10000000000.0,8.348805596254325e-08
10100000000.0,8.280817121858047e-08
10200000000.0,8.211337994324986e-08
10300000000.0,8.142518017994898e-08
10400000000.0,8.0710236927099e-08
10500000000.0,7.995051768025988e-08
10600000000.0,7.918813781373717e-08
10700000000.0,7.84131939850602e-08
10800000000.0,7.763137627920477e-08
10900000000.0,7.683441829456604e-08
11000000000.0,7.602016855555049e-08
11100000000.0,7.519966388867836e-08
11200000000.0,7.438420361831116e-08
11300000000.0,7.356689204225119e-08
11400000000.0,7.27152197114919e-08
11500000000.0,7.1845457787033e-08
11600000000.0,7.097692815568486e-08
11700000000.0,7.00995203267092e-08
11800000000.0,6.922342989965776e-08
11900000000.0,6.834602445395075e-08
12000000000.0,6.745575424568802e-08
12100000000.0,6.656549620726654e-08
12200000000.0,6.569973841973654e-08
12300000000.0,6.481159769068311e-08
12400000000.0,6.38943040021526e-08
12500000000.0,6.299337714452936e-08
12600000000.0,6.209324945889265e-08
12700000000.0,6.118709468857084e-08
12800000000.0,6.028510089177257e-08
12900000000.0,5.938118349185687e-08
13000000000.0,5.8475317588658614e-08
13100000000.0,5.758046817339908e-08
13200000000.0,5.6720188396391635e-08
13300000000.0,5.5842994848708707e-08
13400000000.0,5.493495233978526e-08
13500000000.0,5.4052597154681075e-08
13600000000.0,5.316899156649528e-08
13700000000.0,5.2282990569681514e-08
13800000000.0,5.1413106355271425e-08
13900000000.0,5.054773899359685e-08
14000000000.0,4.9689799827783325e-08
14100000000.0,4.884217174057765e-08
14200000000.0,4.802922343186017e-08
14300000000.0,4.720781572409001e-08
14400000000.0,4.635127448989557e-08
14500000000.0,4.551265399512066e-08
14600000000.0,4.4696284277017424e-08
14700000000.0,4.388856553903542e-08
14800000000.0,4.308701597121601e-08
14900000000.0,4.229520381141594e-08
15000000000.0,4.151112585226824e-08
15100000000.0,4.0738526191696334e-08
15200000000.0,4.000682921240246e-08
15300000000.0,3.925747238872518e-08
15400000000.0,3.8480677855484945e-08
15500000000.0,3.773761230336954e-08
15600000000.0,3.7007374929909644e-08
15700000000.0,3.6287706602235164e-08
15800000000.0,3.558101977598235e-08
15900000000.0,3.488056229919032e-08
16000000000.0,3.419802598974081e-08
16100000000.0,3.352573221061449e-08
16200000000.0,3.284986042774306e-08
16300000000.0,3.218127723196165e-08
16400000000.0,3.1525223067010875e-08
16500000000.0,3.088593525951514e-08
16600000000.0,3.025682299942328e-08
16700000000.0,2.9637245704514133e-08
16800000000.0,2.9027552177371118e-08
16900000000.0,2.8427509302504662e-08
17000000000.0,2.783386436881227e-08
17100000000.0,2.724340389304345e-08
17200000000.0,2.6665717541023092e-08
17300000000.0,2.610013517028297e-08
17400000000.0,2.5541122302022243e-08
17500000000.0,2.4995857891418696e-08
17600000000.0,2.446107591124096e-08
17700000000.0,2.3931794820132997e-08
17800000000.0,2.3411908906993124e-08
17900000000.0,2.2904214100163284e-08
18000000000.0,2.2402156766748717e-08
18100000000.0,2.1909054126426416e-08
18200000000.0,2.143198105760649e-08
18300000000.0,2.0955759604907926e-08
18400000000.0,2.0488327732995386e-08
18500000000.0,2.0032485160762773e-08
18600000000.0,1.95865838670533e-08
18700000000.0,1.9149655236387578e-08
18800000000.0,1.8714808989124747e-08
18900000000.0,1.829171923061615e-08
19000000000.0,1.7881335388277674e-08
19100000000.0,1.7475778444703096e-08
19200000000.0,1.7076338614604187e-08
19300000000.0,1.6688144351062956e-08
19400000000.0,1.630353511184638e-08
19500000000.0,1.5927871690279102e-08
19600000000.0,1.5560541525186115e-08
19700000000.0,1.519996446931422e-08
19800000000.0,1.4847394524897675e-08
19900000000.0,1.4501774891516835e-08
20000000000.0,1.416354882712251e-08
20100000000.0,1.3832050063347273e-08
20200000000.0,1.3510898428748005e-08
20300000000.0,1.3192993699068642e-08
20400000000.0,1.287965452180855e-08
20500000000.0,1.2574325676993623e-08
20600000000.0,1.227556008245227e-08
20700000000.0,1.1983584253675111e-08
20800000000.0,1.1700543861526722e-08
20900000000.0,1.142374063313429e-08
21000000000.0,1.1148850798075563e-08
21100000000.0,1.0879026223957258e-08
21200000000.0,1.0617585576023819e-08
21300000000.0,1.0362040266784382e-08
21400000000.0,1.0113327810285167e-08
21500000000.0,9.868885357427896e-09
21600000000.0,9.630008247230109e-09
21700000000.0,9.395934801032716e-09
21800000000.0,9.16461260605846e-09
21900000000.0,8.94229112902982e-09
22000000000.0,8.723264315605745e-09
22100000000.0,8.508425616312342e-09
22200000000.0,8.299947299174501e-09
22300000000.0,8.095723120612914e-09
22400000000.0,7.897296117820099e-09
22500000000.0,7.70301829772557e-09
22600000000.0,7.512726368033489e-09
22700000000.0,7.3261021144314934e-09
22800000000.0,7.142792828747765e-09
22900000000.0,6.964805092435714e-09
23000000000.0,6.791332407532436e-09
23100000000.0,6.621933972849711e-09
23200000000.0,6.457717747484503e-09
23300000000.0,6.2957875956257795e-09
23400000000.0,6.138009881429206e-09
23500000000.0,5.984332303799204e-09
23600000000.0,5.832061783672749e-09
23700000000.0,5.685963799555427e-09
23800000000.0,5.542938612509611e-09
23900000000.0,5.40315775816453e-09
24000000000.0,5.2667271791474054e-09
24100000000.0,5.132543907847497e-09
24200000000.0,5.001615614691903e-09
24300000000.0,4.873909597628862e-09
24400000000.0,4.749846427394071e-09
24500000000.0,4.628841079201283e-09
24600000000.0,4.510943870197338e-09
24700000000.0,4.394623920883671e-09
24800000000.0,4.2821278349042956e-09
24900000000.0,4.172548611933575e-09
25000000000.0,4.065518792778965e-09
25100000000.0,3.96154271347552e-09
25200000000.0,3.859223271541687e-09
25300000000.0,3.7595603874842436e-09
25400000000.0,3.663499562706624e-09
25500000000.0,3.5687265775792555e-09
25600000000.0,3.4755796864958877e-09
25700000000.0,3.3872303100152057e-09
25800000000.0,3.301285861254707e-09
25900000000.0,3.21676865441734e-09
26000000000.0,3.1332851893195024e-09
26100000000.0,3.0484733736835062e-09
26200000000.0,2.9671700981946583e-09
26300000000.0,2.892619188741984e-09
26400000000.0,2.8169339031564506e-09
26500000000.0,2.7409699851037563e-09
26600000000.0,2.66691911017532e-09
26700000000.0,2.596440046588846e-09
26800000000.0,2.530802795700886e-09
26900000000.0,2.4649735882272127e-09
27000000000.0,2.3999645170175018e-09
27100000000.0,2.338197220989501e-09
27200000000.0,2.274678215092359e-09
27300000000.0,2.212244236068582e-09
27400000000.0,2.157263669680486e-09
27500000000.0,2.099261497882471e-09
27600000000.0,2.0406025013032745e-09
27700000000.0,1.9869240244872684e-09
27800000000.0,1.934220879821182e-09
27900000000.0,1.8828470939613275e-09
28000000000.0,1.833116034606221e-09
28100000000.0,1.7848474007901691e-09
28200000000.0,1.7375022438854107e-09
28300000000.0,1.6916917958332689e-09
28400000000.0,1.6467861562007716e-09
28500000000.0,1.6046050135995916e-09
28600000000.0,1.5618540403701604e-09
28700000000.0,1.5184260291866267e-09
28800000000.0,1.4783675300972877e-09
28900000000.0,1.4389526727168418e-09
29000000000.0,1.4004729443808299e-09
29100000000.0,1.3629180048720523e-09
29200000000.0,1.3261673849894038e-09
29300000000.0,1.2908904189698662e-09
29400000000.0,1.2563673089528097e-09
29500000000.0,1.2226438251536883e-09
29600000000.0,1.1899929354128166e-09
29700000000.0,1.1581265652494672e-09
29800000000.0,1.126893623892494e-09
29900000000.0,1.0965719395457013e-09
30000000000.0,1.0670697725747938e-09
30100000000.0,1.0380048825072988e-09
30200000000.0,1.010050004118021e-09
30300000000.0,9.817678283026594e-10
30400000000.0,9.541723430694426e-10
30500000000.0,9.287857075159067e-10
30600000000.0,9.040615254902772e-10
30700000000.0,8.799556618431241e-10
30800000000.0,8.564458399334649e-10
30900000000.0,8.335180528667205e-10
31000000000.0,8.111612407267606e-10
31100000000.0,7.89365145680698e-10
31200000000.0,7.681196121134951e-10
31300000000.0,7.474142606242545e-10
31400000000.0,7.272385000000978e-10
31500000000.0,7.07581518715328e-10
31600000000.0,6.884323272495395e-10
31700000000.0,6.697799073251534e-10
31800000000.0,6.516131746596566e-10
31900000000.0,6.339210595473186e-10
32000000000.0,6.166925655359315e-10
32100000000.0,6.01289178729758e-10
32200000000.0,5.849561553124261e-10
32300000000.0,5.676823401688257e-10
32400000000.0,5.522004889581949e-10
32500000000.0,5.371290680279384e-10
32600000000.0,5.224579309423985e-10
32700000000.0,5.081771073314021e-10
32800000000.0,4.942768110384074e-10
32900000000.0,4.807474692427324e-10
33000000000.0,4.675796896249019e-10
33100000000.0,4.5476428750076004e-10
33200000000.0,4.4261918651488043e-10
33300000000.0,4.314125241157904e-10
33400000000.0,4.1996957874647296e-10
33500000000.0,4.068510404157319e-10
33600000000.0,3.9567202215766614e-10
33700000000.0,3.854212983204378e-10
33800000000.0,3.74726237839666e-10
33900000000.0,3.6534021439646496e-10
34000000000.0,3.551231701422467e-10
34100000000.0,3.4491091230009855e-10
34200000000.0,3.355347174261461e-10
34300000000.0,3.265525145504013e-10
34400000000.0,3.178157367718184e-10
34500000000.0,3.0928209540181686e-10
34600000000.0,3.0093946762419735e-10
34700000000.0,2.9278495793138317e-10
34800000000.0,2.848181921855304e-10
34900000000.0,2.7703910235627146e-10
35000000000.0,2.6944720442947864e-10
35100000000.0,2.6204143086075905e-10
35200000000.0,2.5482015139313195e-10
35300000000.0,2.4778125837125896e-10
35400000000.0,2.4092223485345266e-10
35500000000.0,2.342402466604464e-10
35600000000.0,1.9996298944279871e-10
35700000000.0,8.449131117071613e-11
35800000000.0,0.0
35900000000.0,0.0
36000000000.0,0.0
36100000000.0,0.0
36200000000.0,0.0
36300000000.0,0.0
36400000000.0,0.0
36500000000.0,0.0
36600000000.0,0.0
36700000000.0,0.0
36800000000.0,0.0
36900000000.0,0.0
37000000000.0,0.0
37100000000.0,0.0
37200000000.0,0.0
37300000000.0,0.0
37400000000.0,0.0
37500000000.0,0.0
37600000000.0,0.0
37700000000.0,0.0
37800000000.0,0.0
37900000000.0,0.0
38000000000.0,0.0
38100000000.0,0.0
38200000000.0,0.0
38300000000.0,0.0
38400000000.0,0.0
38500000000.0,0.0
38600000000.0,0.0
38700000000.0,0.0
38800000000.0,0.0
38900000000.0,0.0
39000000000.0,0.0
39100000000.0,0.0
39200000000.0,0.0
39300000000.0,0.0
39400000000.0,0.0
39500000000.0,0.0
39600000000.0,0.0
39700000000.0,0.0
39800000000.0,0.0
39900000000.0,0.0
40000000000.0,0.0
40100000000.0,0.0
40200000000.0,0.0
40300000000.0,0.0
40400000000.0,0.0
40500000000.0,0.0
40600000000.0,0.0
40700000000.0,0.0
40800000000.0,0.0
40900000000.0,0.0
41000000000.0,0.0
41100000000.0,0.0
41200000000.0,0.0
41300000000.0,0.0
41400000000.0,0.0
41500000000.0,0.0
41600000000.0,0.0
41700000000.0,0.0
41800000000.0,0.0
41900000000.0,0.0
42000000000.0,0.0
42100000000.0,0.0
42200000000.0,0.0
42300000000.0,0.0
42400000000.0,0.0
42500000000.0,0.0
42600000000.0,0.0
42700000000.0,0.0
42800000000.0,0.0
42900000000.0,0.0
43000000000.0,0.0
43100000000.0,0.0
43200000000.0,0.0
43300000000.0,0.0
43400000000.0,0.0
43500000000.0,0.0
43600000000.0,0.0
43700000000.0,0.0
43800000000.0,0.0
43900000000.0,0.0
44000000000.0,0.0
44100000000.0,0.0
44200000000.0,0.0
44300000000.0,0.0
44400000000.0,0.0
44500000000.0,0.0
44600000000.0,0.0
44700000000.0,0.0
44800000000.0,0.0
44900000000.0,0.0
45000000000.0,0.0
